Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185443_RNODE_7_length_2465_cov_16.94409	27.34	44.34	47.02	92.01	87.59	96.71	66.37	100	100	100	80.81	12.41	80.61	48.76	59.96	48.4	52.74	87.91	54.69	48.11	48.32	48.03	18.17	48.07	49.37	12.98	45.35	48.44	49.05
ERR2185443_RNODE_8_length_1850_cov_9.23244	0	11.45	15.88	30.96	35.98	100	41.6	100	100	99.78	99.95	0	17.02	0	56.56	0	0	87.57	0	0	0	0	0	0	0	0	0	0	0
ERR2185443_RNODE_9_length_1049_cov_0.63618	0	0	0	100	33.65	79.6	0	100	34.22	57.29	0	0	100	26.6	95.23	92.47	26.6	100	0	33.08	65.2	0	0	0	13.35	0	21.93	13.35	0
ERR2185444_RNODE_100_length_2548_cov_4.70690	0	0	5.37	0	9.38	28.01	18.36	43.9	100	29.03	86.82	0	38.56	0	10.79	0	0	73.99	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_10_length_1207_cov_16.73820	0	26.1	0	0	53.44	0	0	23.2	100	44.41	89.15	0	11.6	0	23.12	0	11.43	0	11.6	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_11_length_1352_cov_80.05920	0	20.62	21.73	14.78	49	0	0	30.67	100	20.62	64.3	0	0	0	20.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_12_length_2357_cov_6.35380	0	7.25	8.06	0	0	0	0	6.19	99.92	0	11.79	0	0	15.36	17.69	13.03	0	5.9	0	0	0	0	0	0	0	0	0	0	5.85
ERR2185444_RNODE_13_length_2454_cov_6.90510	0	0	0	0	0	16.05	0	61.91	100	0	15.89	0	0	0	11.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_14_length_1744_cov_16.82630	7.79	15.93	0	0	0	0	0	44.24	100	8.08	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_15_length_2261_cov_10.00440	9.02	21.14	0	34.72	0	66.25	31.4	54.75	100	57.72	100	0	11.32	0	0	11.76	0	24.72	0	0	0	0	0	0	24.24	0	0	0	0
