Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
SRR23967293_RNODE_294_length_1416_cov_34.06347	0	0	0	0	0	0	0	0	0	0	0	0	0	19.69	19.69	19.48	100	100	98.38	0	0	0	0	0	0	0	0	100	100
SRR23967293_RNODE_295_length_1495_cov_2.96227	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36	0	0	100	77.12	98.66	0	0	0	0	0	0	0	0	67.83	16.72
SRR23967293_RNODE_296_length_1623_cov_79.41008	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	8.5	0	0	95.93	100	64.2	0	0	100	74.49
SRR23967293_RNODE_298_length_3999_cov_24.87420	0	0	0	0	0	0	0	0	0	0	0	0	0	38.51	31.43	14.43	100	0	95.72	0	0	0	0	0	0	0	0	19.25	100
SRR23967293_RNODE_29_length_1024_cov_8.82420	0	0	0	0	0	0	0	0	0	0	0	0	0	66.83	27.12	69.37	100	89.07	92.88	0	0	0	0	0	0	0	0	87.61	0
SRR23967293_RNODE_2_length_1629_cov_10.19640	0	0	0	0	0	0	0	0	0	0	0	0	93.25	99.2	97.73	87.54	100	88.21	100	25.72	8.59	17.13	17	0	100	0	0	89.81	0
SRR23967293_RNODE_301_length_1138_cov_17.17035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	78.75	0	0	0	0	0	0	0	0	69.36	0
SRR23967293_RNODE_302_length_2168_cov_4.88927	0	0	0	0	0	0	0	0	0	0	0	0	0	81.14	68	43.98	100	100	94.47	0	0	0	0	0	0	0	0	95.44	52.33
SRR23967293_RNODE_303_length_3267_cov_15.68421	0	0	0	0	0	0	0	0	0	0	0	0	0	65.81	71.9	53.63	100	100	100	8.48	0	28.01	28.99	63.54	0	0	0	100	8.57
SRR23967293_RNODE_304_length_1566_cov_4.40638	0	0	0	0	0	0	0	0	0	0	0	0	26.87	99.81	97.06	98.09	100	69.43	83.15	55.78	42.95	100	17.87	0	0	0	0	94	44.54
SRR23967293_RNODE_305_length_1860_cov_3.74195	0	0	0	0	7.9	0	0	8.54	20.74	0	0	0	54.22	97.9	100	99.84	100	84.74	54.43	0	0	0	15.1	0	21.6	0	0	12.09	0
SRR23967293_RNODE_306_length_9135_cov_6.62560	0	0	0	0	0	0	0	0	0	0	0	0	0	31.61	21.01	12.19	100	29.87	100	6.82	14.93	17.89	100	100	0	0	0	100	80.66
SRR23967293_RNODE_307_length_1357_cov_28.59868	10.32	48.78	0	0	11.86	0	0	0	0	0	0	94.84	100	100	100	100	100	100	100	100	100	100	9.8	100	10.32	91.97	100	99.41	96.83
SRR23967293_RNODE_308_length_2289_cov_10.31160	0	0	0	0	0	0	0	0	0	0	0	0	0	37.44	17.21	12.15	100	100	100	0	12.19	0	0	12.19	0	0	0	98.47	0
SRR23967293_RNODE_311_length_1563_cov_6.52705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	77.67	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_312_length_1965_cov_3.61154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	99.85	0	13.49	0	33.89	23.66	0	0	0	100	0
SRR23967293_RNODE_313_length_1566_cov_3.57744	0	0	0	0	0	0	0	0	0	0	0	0	0	68.79	61.33	88.26	100	65.41	0	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_315_length_1227_cov_3.24168	0	0	0	0	0	0	0	0	0	0	0	0	0	45.56	22.74	54.28	100	100	96.9	0	0	0	0	11.41	0	0	0	100	0
SRR23967293_RNODE_316_length_2120_cov_5.68969	0	0	0	0	0	0	0	0	0	0	0	0	12.82	100	92.69	90.99	100	12.64	99.25	0	0	0	0	6.51	0	0	9.1	76.14	13.25
SRR23967293_RNODE_317_length_2211_cov_2.01165	0	0	0	0	0	0	0	0	0	0	0	0	0	21.62	12.66	0	100	0	100	0	0	0	0	0	0	0	0	100	100
SRR23967293_RNODE_319_length_1527_cov_6.49042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	94.3	27.44	0	0	0	100	0	0	0	0	27.31	0
SRR23967293_RNODE_31_length_13591_cov_21.00000	0	0	0	0	0	0	0	0	0	0	0	0	32.31	27.32	25.4	38.77	100	46.55	25.28	0	0	0	10.92	0	0	0	0	26.44	0
SRR23967293_RNODE_321_length_6967_cov_27.25974	0	13.82	0	0	0	0	0	0	0	0	0	0	0	96.27	91.07	87.94	100	100	92.38	0	0	0	0	0	0	0	0	90.76	24.01
SRR23967293_RNODE_322_length_1947_cov_11.14273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.12	8.58	100	0	81.87	0	0	0	8.83	0	0	0	0	33.64	100
SRR23967293_RNODE_323_length_7451_cov_49.17787	0	0	0	0	0	0	0	0	0	0	0	0	0	20.87	10.74	7.44	100	97.85	100	0	0	0	11.65	0	0	0	0	79.12	0
SRR23967293_RNODE_325_length_16892_cov_12.78575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	22.15	0	0	0	0	0	0	0	0	10.45	0
SRR23967293_RNODE_326_length_1184_cov_1.90009	0	0	0	0	0	0	0	0	0	0	0	76.54	12.57	57.64	0	0	100	0	93.84	0	0	0	0	0	0	0	0	100	37.89
SRR23967293_RNODE_327_length_1125_cov_7.38178	0	0	0	0	0	0	0	0	0	0	0	0	0	37.07	49.6	53.33	100	100	100	0	0	0	100	100	0	0	0	100	0
SRR23967293_RNODE_328_length_3977_cov_25.40755	66.46	50.72	15.21	33.22	44.2	0	0	0	0	0	0	0	89.82	100	100	99.62	100	100	99.3	85.29	85.44	88.23	27.36	100	67.97	10.56	91.17	100	12.35
SRR23967293_RNODE_329_length_1881_cov_1.82562	16.69	7.44	0	0	0	0	0	0	0	0	0	15.84	27.01	24.88	39.55	34.5	100	56.41	82.83	24.61	19.46	32.85	25.04	29.82	0	13.08	27.75	71.88	92.72
SRR23967293_RNODE_32_length_4302_cov_29.00670	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51	6.48	0	100	25.15	100	0	0	0	33.6	0	0	0	0	100	0
SRR23967293_RNODE_330_length_1023_cov_3.38243	0	0	14.76	16.13	34.41	0	0	0	0	0	0	0	13.59	61.97	63.83	59.34	100	100	100	0	0	27.37	27.17	100	54.74	0	22.19	100	13.69
SRR23967293_RNODE_331_length_2129_cov_6.67783	0	0	0	0	0	0	0	0	0	0	0	0	0	36.73	30.11	36.68	100	100	100	0	0	0	0	87.41	18.6	0	0	100	0
SRR23967293_RNODE_332_length_2826_cov_8.98573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.83	100	100	100	0	0	0	0	0	0	0	0	100	5.8
SRR23967293_RNODE_333_length_1071_cov_5.99403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	91.5	0	0	0	0	0	0	0	0	52.29	0
SRR23967293_RNODE_334_length_2766_cov_4.25309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.11	20.17	100	0	37.51	0	0	0	15.11	0	0	0	0	83.34	0
SRR23967293_RNODE_336_length_1784_cov_16.42306	0	0	0	0	0	0	0	0	0	0	0	0	0	57.76	31.32	15.74	100	100	100	0	0	31.32	100	100	23.7	0	0	100	9.52
SRR23967293_RNODE_337_length_2077_cov_5.10803	0	29.56	0	0	20.46	0	0	0	0	0	0	0	0	20.17	0	0	100	100	100	0	12.66	0	0	0	0	0	6.74	0	0
SRR23967293_RNODE_338_length_3162_cov_4.21625	0	0	0	0	0	0	0	0	0	0	0	0	0	26.4	0	17.14	100	8.79	49.1	0	0	0	8.85	0	0	0	0	34.05	0
SRR23967293_RNODE_339_length_6842_cov_3.75043	0	7.01	0	0	0	0	0	0	0	0	0	0	0	14.31	8.14	0	100	0	89.2	0	0	0	0	0	0	0	0	12.26	0
SRR23967293_RNODE_33_length_7927_cov_13.09680	0	0	0	0	0	0	0	0	0	0	0	0	0	12.1	88.6	80.76	100	100	91.67	0	0	0	0	0	0	0	0	5.7	0
SRR23967293_RNODE_341_length_1946_cov_10.43215	0	0	0	0	0	0	0	0	0	0	0	0	0	14.23	14.43	0	100	100	100	14.43	0	0	98.56	100	0	0	0	100	0
SRR23967293_RNODE_342_length_1608_cov_5.44494	0	0	0	0	0	0	0	0	0	0	0	22.75	0	17.4	34.74	17.4	100	100	100	0	0	0	17.4	0	0	0	0	100	17.4
SRR23967293_RNODE_343_length_1859_cov_3.74632	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32	32.65	9.09	100	99.03	93.22	33.78	0	0	0	0	0	0	0	75.69	100
SRR23967293_RNODE_344_length_1212_cov_3.57878	0	0	0	0	0	0	0	0	0	0	0	0	0	75.85	80.79	77.33	100	94.72	100	0	0	0	27.37	11.54	0	0	0	100	0
SRR23967293_RNODE_346_length_1727_cov_7.15878	0	0	0	0	0	0	0	0	0	0	0	15.87	0	0	0	0	100	92.59	99.94	0	0	0	0	15.92	0	0	0	100	0
SRR23967293_RNODE_347_length_1033_cov_2.73781	0	0	0	0	0	0	0	0	0	0	0	0	0	26.52	27.01	27.11	100	62.54	100	0	0	13.36	42.88	100	100	0	0	73.57	0
SRR23967293_RNODE_349_length_9540_cov_28.26136	0	0	0	0	0	0	0	0	0	0	0	0	0	13.86	0	0	100	5.84	96.89	0	0	0	5.85	76.85	8.79	0	0	51.72	0
SRR23967293_RNODE_34_length_5408_cov_27.89400	0	0	0	0	0	0	0	0	0	0	0	0	5.18	10.28	5.18	24.9	100	0	95.62	0	0	0	37.33	33.59	64.39	0	0	59.99	0
SRR23967293_RNODE_350_length_2154_cov_8.15747	0	6.91	0	0	0	0	0	0	0	0	0	0	0	0	6.5	29.51	100	100	100	0	0	0	0	37.03	6.5	0	0	100	0
SRR23967293_RNODE_351_length_2970_cov_6.87924	15.42	9.36	0	0	11.21	0	0	0	0	0	0	0	0	42.54	39.85	51.23	100	100	100	14.17	8.95	27.97	0	73.07	0	0	31.47	100	0
SRR23967293_RNODE_352_length_3031_cov_8.57611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	18.44	0	0	0	0	0	0	0	0	0	17.82	0
SRR23967293_RNODE_353_length_5949_cov_7.41446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	91.33	0	0	0	0	10.88	0	0	0	21.36	0
SRR23967293_RNODE_354_length_1122_cov_17.19942	0	0	0	0	0	0	0	0	0	0	0	0	0	24.93	0	0	100	76.31	100	0	0	0	0	0	0	0	0	87.89	61.98
SRR23967293_RNODE_355_length_1050_cov_3.02527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	89.25	0	0	0	0	0	0	0	0	96.57	0
SRR23967293_RNODE_356_length_1803_cov_4.02153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99	100	7.71	80.31	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_357_length_6153_cov_3.34258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65	100	0	99.43	0	0	0	0	0	0	0	0	8	0
SRR23967293_RNODE_35_length_1329_cov_3.14520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.5	100	100	0	0	0	0	0	9.63	0	0	100	0
SRR23967293_RNODE_361_length_1074_cov_1.98567	0	14.79	0	0	0	0	0	0	0	0	0	0	0	0	26.98	0	100	0	64.65	0	0	0	0	0	0	0	0	60.84	0
SRR23967293_RNODE_362_length_1116_cov_4.35167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	76.9	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_363_length_2112_cov_11.88261	0	0	7.86	0	21.72	0	0	0	0	0	0	0	0	16.09	13.2	39	100	100	99.53	0	0	0	6.44	40.8	6.58	0	0	98.06	0
SRR23967293_RNODE_364_length_2887_cov_7.07606	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66	0	0	100	19.33	85.21	0	0	0	0	0	0	0	0	70.73	40.6
SRR23967293_RNODE_366_length_2598_cov_7.85325	0	0	0	0	0	0	0	0	0	0	0	0	26.89	0	5.39	5.31	100	0	0	79.34	73.91	82.15	99.77	100	18.05	5.39	13.35	10.66	0
SRR23967293_RNODE_367_length_1697_cov_2.46988	0	0	0	0	0	0	0	0	0	0	0	0	0	96.29	99.53	61.76	100	50.56	94.81	0	0	0	0	12.55	0	0	0	98.29	19.09
SRR23967293_RNODE_368_length_3698_cov_7.05327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	7.54	90.67	0	0	0	0	0	0	0	0	19.03	0
SRR23967293_RNODE_370_length_2157_cov_45.85988	0	0	0	0	0	0	0	0	0	0	0	0	0	63	62.96	25.96	100	100	100	0	0	0	12.98	0	0	0	0	100	100
SRR23967293_RNODE_371_length_3534_cov_19.05117	0	0	0	0	0	0	0	0	0	0	0	0	0	14.77	15.5	0	100	11.71	99.77	0	0	0	0	0	0	0	0	49.7	0
SRR23967293_RNODE_373_length_1500_cov_2.85099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	82.15	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_374_length_1943_cov_9.72409	0	0	0	0	0	0	0	0	0	0	0	0	14.31	55.94	0	0	100	93.93	69.07	0	0	0	90.58	52.8	90.02	0	0	100	0
SRR23967293_RNODE_375_length_1050_cov_8.00986	0	0	0	0	0	0	0	0	0	0	0	30.64	0	100	88.68	84.02	100	99.9	99.9	56.99	0	0	91.15	94.96	0	0	26.64	99.9	99.81
SRR23967293_RNODE_376_length_2714_cov_6.24941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	88.51	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_379_length_1281_cov_3.14852	0	0	0	0	0	0	0	0	0	0	0	0	0	21.86	21.86	0	100	98.91	100	0	0	0	0	0	5.15	0	0	21.62	0
SRR23967293_RNODE_37_length_37591_cov_149.88110	0	0	0	0	0	0	0	0	0	0	0	8	0	5.26	0	11.1	100	100	100	0	0	0	5.38	8.24	0	0	0	100	0
SRR23967293_RNODE_380_length_3165_cov_11.64709	0	0	0	0	0	0	0	0	0	0	0	0	0	51.12	32.61	8.82	100	0	89.7	0	0	0	56.18	0	0	0	0	56.18	100
SRR23967293_RNODE_381_length_1440_cov_2.02827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	22.97	0	0	0	0	0	0	0	0	9.72	26.93
SRR23967293_RNODE_382_length_16354_cov_8.63648	0	0	0	0	0	0	0	0	0	0	0	10.2	73.98	89.29	88.76	95.1	100	100	100	31.23	31.95	70.61	11.63	9.75	0	0	11.15	86.13	42.02
SRR23967293_RNODE_383_length_2146_cov_2.26760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_384_length_1215_cov_6.43611	0	0	0	0	0	0	0	0	0	0	0	0	0	90.95	32.18	71.69	100	99.84	84.53	32.02	0	0	0	0	0	23.05	0	98.27	0
SRR23967293_RNODE_385_length_1904_cov_10.01651	7.87	0	0	0	0	0	0	0	0	0	0	32.6	0	21.99	19	14.75	100	99.84	94.54	34.75	43.62	48.4	47.3	38.53	14.65	25.51	67.3	65.41	7.35
SRR23967293_RNODE_387_length_7063_cov_7.24672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	100	5.88	84.84	0	0	0	0	0	0	0	0	57.4	0
SRR23967293_RNODE_388_length_1761_cov_6.27566	0	10.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	28.9	99.03	0	0	0	0	0	0	0	0	58.83	0
SRR23967293_RNODE_389_length_3713_cov_8.02393	0	0	0	0	0	0	0	0	0	0	0	9.16	6.11	0	0	0	100	99.38	100	10.88	6.73	14.35	36.3	10.67	0	6.73	5.22	100	11.12
SRR23967293_RNODE_38_length_2402_cov_8.00330	0	0	0	0	0	0	0	0	0	0	0	0	19.23	0	11.61	0	100	100	100	0	0	10.49	0	49.81	0	0	0	100	0
SRR23967293_RNODE_391_length_1559_cov_25.15265	0	0	0	0	0	0	0	0	0	0	0	0	0	17.96	17.83	0	100	0	93.71	0	0	0	0	8.98	0	0	0	96.41	0
SRR23967293_RNODE_392_length_1500_cov_18.88170	0	31.25	0	0	0	0	0	0	0	0	0	0	0	49.43	11.06	57.16	100	100	100	0	0	0	9.33	0	0	0	0	100	0
SRR23967293_RNODE_393_length_18752_cov_9.45701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25	7.49	100	10.17	35.02	0	0	0	6.05	7.44	0	0	0	37.14	0
SRR23967293_RNODE_394_length_1875_cov_16.16961	0	0	0	0	0	0	0	0	0	0	0	0	0	13.33	0	0	100	100	100	0	0	0	74.35	19.57	35.73	0	0	95.52	68.11
SRR23967293_RNODE_395_length_1696_cov_6.97421	9.72	0	0	0	0	0	0	0	0	0	0	0	70.06	34.41	52.8	38.77	100	100	100	28.93	20.8	29.46	42.84	78.67	42.78	16.26	28.93	97.23	0
SRR23967293_RNODE_396_length_3318_cov_6.64100	0	0	0	0	0	0	0	0	0	0	0	0	0	18.89	8.41	16.78	100	90	98.79	0	0	0	0	0	0	0	0	92.53	100
SRR23967293_RNODE_39_length_5072_cov_17.17670	0	0	0	0	0	0	0	0	0	0	0	0	0	10.05	13.31	0	100	15.36	80.43	0	0	5.5	0	0	0	0	0	88.25	100
SRR23967293_RNODE_3_length_2084_cov_10.00480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_400_length_1345_cov_2.07995	0	0	0	0	0	0	0	0	0	0	0	0	0	64.91	10.11	0	100	0	10.41	0	0	10.33	99.18	0	0	0	0	23.42	0
SRR23967293_RNODE_401_length_5673_cov_88.54278	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	100	9.82	72.66	5.87	0	0	50.04	12.97	0	0	0	100	0
SRR23967293_RNODE_402_length_3329_cov_65.86262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38	100	0	55.45	0	0	0	8.41	0	0	0	0	100	0
SRR23967293_RNODE_403_length_1553_cov_5.67434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	8.5	99.42	0	0	0	0	0	0	0	0	79.52	17.13
SRR23967293_RNODE_404_length_1644_cov_7.29745	14.89	19.88	0	0	0	0	0	0	0	0	0	0	0	0	24.44	0	100	0	94.89	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_405_length_1743_cov_4.53605	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03	32.01	0	100	15.72	32.42	0	0	0	0	0	0	0	0	67.13	0
SRR23967293_RNODE_406_length_2869_cov_2.59443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.65	0	100	9.65	93.66	0	0	0	0	0	0	0	0	54.69	0
SRR23967293_RNODE_409_length_2509_cov_25.02070	0	0	0	0	0	0	0	0	0	0	0	0	0	32.44	0	11.12	100	0	98.57	0	0	0	0	0	0	0	0	65.96	0
SRR23967293_RNODE_40_length_1935_cov_4.88270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	72.61	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_411_length_2237_cov_1.81053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.37	100	0	90.61	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_413_length_1608_cov_5.54379	0	0	0	0	0	0	0	0	0	0	0	0	0	58.86	26.04	17.4	100	94.66	100	0	0	0	68.68	8.64	0	0	0	96.89	31.51
SRR23967293_RNODE_414_length_3327_cov_6.83534	0	0	0	0	0	0	0	0	0	0	0	0	0	72.8	97.26	92.97	100	31.44	100	8.33	33.03	18.61	26.9	51.58	0	0	37.6	100	0
SRR23967293_RNODE_415_length_4632_cov_7.41183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.02	5.98	100	24.07	49.3	6.48	21.48	17.31	5.37	49.04	0	0	0	12.07	0
SRR23967293_RNODE_418_length_4864_cov_10.98401	0	5.69	0	0	0	0	0	0	0	0	0	0	5.73	71.12	68.82	57.86	100	100	98.68	0	0	0	39.9	0	17.18	0	0	100	5.69
SRR23967293_RNODE_419_length_2453_cov_28.25563	0	0	0	0	0	0	0	0	0	0	0	0	0	34.2	11.41	10.11	100	11.29	99.59	0	0	0	0	0	0	0	0	80.35	0
SRR23967293_RNODE_420_length_2982_cov_4.37312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.35	0	100	0	66.07	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_421_length_1193_cov_1.58035	0	0	0	0	0	0	0	0	0	0	0	0	0	40.23	47.19	76.28	98.58	85.41	71.25	0	0	0	23.13	23.05	34.95	0	0	11.74	11.74
SRR23967293_RNODE_422_length_6404_cov_9.59559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	15.89	99.36	0	0	0	0	0	0	0	0	62.26	10.93
SRR23967293_RNODE_423_length_1819_cov_3.33139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	61.63	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_424_length_37301_cov_54.83092	0	0	0	0	0	0	0	0	0	0	0	0	0	30.16	28.88	31.02	100	100	100	0	0	5.6	5.98	6.85	0	0	0	100	0
SRR23967293_RNODE_425_length_6508_cov_5.66755	0	0	0	0	0	0	0	0	0	0	0	0	0	79.2	48.76	17.13	100	0	98.66	0	0	0	100	0	0	0	0	100	0
SRR23967293_RNODE_426_length_1338_cov_2.31692	0	0	0	0	0	0	0	0	0	0	0	0	0	41.9	41.52	0	100	28.45	96.42	0	0	0	98.88	32.86	0	0	0	98.66	0
SRR23967293_RNODE_427_length_2230_cov_4.01719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	93.14	0	0	0	0	0	0	0	0	9.23	0
SRR23967293_RNODE_429_length_1090_cov_3.32306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	84.23	37.4	0	0	0	0	0	0	0	0	0	100
SRR23967293_RNODE_42_length_1190_cov_28.07560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	5.96	0	0	0	0	0	0	0	100	0
SRR23967293_RNODE_431_length_1231_cov_3.84076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	85.3	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_432_length_1875_cov_2.89783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	72.48	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_433_length_2045_cov_3.56120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	78.88	0	0	0	0	0	0	0	0	20	0
SRR23967293_RNODE_434_length_38818_cov_16.21300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54	6.83	100	100	99.71	0	0	0	0	29.28	0	0	0	98.43	0
SRR23967293_RNODE_435_length_3901_cov_8.79442	0	0	0	0	0	0	0	0	0	0	0	0	0	47.99	68.42	64.55	100	19.02	75.42	0	0	0	0	0	0	0	0	95	0
SRR23967293_RNODE_436_length_9810_cov_32.82856	0	0	0	0	0	0	0	0	0	0	0	0	0	94.45	88.16	73.34	100	100	98.41	0	0	0	0	0	0	0	0	97.47	50.02
SRR23967293_RNODE_437_length_1192_cov_2.90032	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99.92	96.23	100	90.03	86.25	46.69	46.27	96.65	10.73	0	0	0	0	99.92	0
SRR23967293_RNODE_438_length_3294_cov_4.89750	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8	8.5	14.14	100	98.42	98.94	0	0	0	0	0	0	0	0	95.27	0
SRR23967293_RNODE_43_length_5553_cov_21.87070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	5.04	98.92	0	0	0	0	0	0	0	0	20.12	0
SRR23967293_RNODE_440_length_1460_cov_4.89925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.96	100	0	96.37	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_442_length_1419_cov_4.87948	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73	29.74	35.45	100	100	95.77	0	0	0	74.35	75.26	25.23	0	0	0	0
SRR23967293_RNODE_443_length_4641_cov_6.92180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	88.11	0	0	0	0	0	0	0	0	21.12	0
SRR23967293_RNODE_444_length_1293_cov_3.93497	0	0	0	0	0	0	0	0	0	0	0	0	0	55.3	21.5	43.16	100	95.36	0	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_445_length_3449_cov_4.72376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	8.12	65.5	0	0	0	0	0	0	0	0	0	0
SRR23967293_RNODE_446_length_4668_cov_5.14290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.97	100	98.44	100	0	0	0	0	0	0	0	0	11.97	71.58
SRR23967293_RNODE_447_length_1216_cov_1.40695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.42	100	100	86.61	0	0	0	0	0	0	0	0	64.42	0
SRR23967293_RNODE_449_length_1601_cov_0.95275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	80.64	55.28	0	0	0	0	0	0	0	0	34.98	100
SRR23967293_RNODE_44_length_6021_cov_15.95020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11	100	18.19	99.04	0	0	0	0	0	0	0	0	64.67	9.25
SRR23967293_RNODE_452_length_2296_cov_4.46693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	85.42	0	0	0	0	0	0	0	0	24.38	0
SRR23967293_RNODE_453_length_1782_cov_8.65482	7.8	0	0	0	0	0	0	0	0	0	0	7.68	0	28.55	0	0	100	100	100	0	0	0	8.58	54.01	11.27	0	0	100	0
SRR23967293_RNODE_454_length_1044_cov_1.41052	0	0	0	0	0	0	0	0	0	0	0	0	31.67	31.1	38.85	36.84	100	72.54	100	19.04	0	26.6	0	0	14.55	13.4	0	73.3	0
SRR23967293_RNODE_455_length_1357_cov_3.67676	0	0	0	0	0	0	0	0	0	0	0	0	0	20.56	0	0	100	0	83.71	0	0	0	0	0	0	0	0	69.2	78.11
SRR23967293_RNODE_456_length_5902_cov_6.14314	0	0	0	0	0	0	0	0	0	0	0	0	41.47	90.92	95.65	92.53	100	100	95.88	19.4	12.64	35.95	91.39	93.14	95.68	0	0	100	0
SRR23967293_RNODE_457_length_7191_cov_5.08556	0	0	0	0	0	0	0	0	0	0	0	9.9	0	9.57	0	9.54	100	56.35	90.75	17.83	46.67	39.49	0	9.33	0	9.36	16.9	41.68	0
SRR23967293_RNODE_458_length_1821_cov_2.79611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69	14.22	100	0	30.2	0	0	0	0	0	0	0	0	15.38	0
SRR23967293_RNODE_459_length_3721_cov_5.18856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	60.49	0	0	0	0	0	0	0	0	7.5	0
SRR23967293_RNODE_45_length_1246_cov_8.00640	0	0	0	0	0	0	0	0	0	0	0	0	0	37.05	0	0	100	35.28	23.42	0	0	0	0	0	0	0	0	0	0
